"","strategy_id","primary_id","design_id","future_id","strategy","strategy_code","baseline_strategy_id"
"46",3045,47047,0,0,"TRNS: Fuel switch medium duty road transport","TRNS:FUEL_SWITCH_MEDIUM_DUTY",0
"47",3046,48048,0,0,"TRNS: Fuel switch medium duty road transport with renewable energy production","TRNS:FUEL_SWITCH_MEDIUM_DUTY_REP",0
"48",3047,49049,0,0,"TRNS: Increase occupancy for private vehicles","TRNS:INC_OCCUPANCY",0
"49",3048,50050,0,0,"TRNS: Increase occupancy for private vehicles with renewable energy production","TRNS:INC_OCCUPANCY_REP",0
"50",3049,51051,0,0,"TRNS: Increase transportation electricity energy efficiency","TRNS:INC_EFFICIENCY_ELEC",0
"51",3050,52052,0,0,"TRNS: Increase transportation electricity energy efficiency with renewable energy production","TRNS:INC_EFFICIENCY_ELEC_REP",0
"52",3051,53053,0,0,"TRNS: Increase transportation non-electricity energy efficiency","TRNS:INC_EFFICIENCY_NON_ELEC",0
"53",3052,54054,0,0,"TRNS: Increase transportation non-electricity energy efficiency with renewable energy production","TRNS:INC_EFFICIENCY_NON_ELEC_REP",0
"54",3053,55055,0,0,"TRNS: Mode shift bundle","TRNS:BUNDLE_MODE_SHIFT",0
"55",3054,56056,0,0,"TRNS: Mode shift bundle with renewable energy production","TRNS:BUNDLE_MODE_SHIFT_REP",0
"56",3055,57057,0,0,"TRNS: Mode shift freight","TRNS:MODE_SHIFT_FREIGHT",0
"57",3056,58058,0,0,"TRNS: Mode shift freight with renewable energy production","TRNS:MODE_SHIFT_FREIGHT_REP",0
"58",3057,59059,0,0,"TRNS: Mode shift passenger vehicles to others","TRNS:MODE_SHIFT_PASSENGER",0
"59",3058,60060,0,0,"TRNS: Mode shift passenger vehicles to others with renewable energy production","TRNS:MODE_SHIFT_PASSENGER_REP",0
"60",3059,61061,0,0,"TRNS: Mode shift regional passenger travel","TRNS:MODE_SHIFT_REGIONAL",0
"61",3060,62062,0,0,"TRNS: Mode shift regional passenger travel with renewable energy production","TRNS:MODE_SHIFT_REGIONAL_REP",0
"62",3061,63063,0,0,"TRNS: Reduce demand for transport","TRNS:DEC_DEMAND",0
"63",3062,64064,0,0,"TRNS: Reduce demand for transport with renewable energy production","TRNS:DEC_DEMAND_REP",0
"64",3063,65065,0,0,"EN: Efficiency bundle","EN:BUNDLE_EFFICIENCY",0
"65",3064,66066,0,0,"EN: Efficiency bundle with renewable energy production","EN:BUNDLE_EFFICIENCY_REP",0
"66",3065,67067,0,0,"EN: Fuel switch bundle","EN:BUNDLE_FUEL_SWITCH",0
"67",3066,68068,0,0,"EN: Fuel switch bundle with renewable energy production","EN:BUNDLE_FUEL_SWITCH_REP",0
"68",3067,69069,0,0,"EN: All Energy transformations","EN:ALL",0



































































































































































